birth_year,district,any_shot,shots_1,shots_2,shots_3,birth_count,coverage,age_group
2021,Quận 11,1268,725,540,3,1960,0.6469387755102041,all
2014,Quận 12,229,228,1,0,5651,0.040523801097150945,[0-1)
2014,Quận 12,2740,2400,298,40,5651,0.4848699345248629,all
2015,Quận 12,2141,2135,6,0,11459,0.18684003839776595,[0-1)
2015,Quận 12,6162,4774,1167,196,11459,0.5377432585740466,all
2016,Quận 12,2487,2483,4,0,12015,0.2069912609238452,[0-1)
2016,Quận 12,6710,4906,1536,246,12015,0.558468580940491,all
2017,Quận 12,2890,2876,14,0,11924,0.24236833277423683,[0-1)
2017,Quận 12,6831,4646,1874,299,11924,0.5728782287822878,all
2018,Quận 12,2327,2318,9,0,10345,0.22493958434026098,[0-1)
2018,Quận 12,5744,4230,1358,154,10345,0.5552440792653456,all
2019,Quận 12,5753,5677,76,0,10580,0.5437618147448016,[0-1)
2019,Quận 12,9355,3462,5441,443,10580,0.8842155009451795,all
2020,Quận 12,5758,5606,152,0,9676,0.5950806118230674,[0-1)
2020,Quận 12,8106,2080,5799,220,9676,0.8377428689541133,all
2021,Quận 12,4660,4585,75,0,7905,0.5895003162555345,[0-1)
2021,Quận 12,5271,3221,2034,16,7905,0.6667931688804554,all
2022,Quận 12,1,1,0,0,3087,3.2393909944930353e-4,[0-1)
2022,Quận 12,1,1,0,0,3087,3.2393909944930353e-4,all
2014,Quận 2,22,22,0,0,1941,0.011334363730036065,[0-1)
2014,Quận 2,657,611,45,1,1941,0.3384853168469861,all
2015,Quận 2,559,559,0,0,3655,0.15294117647058825,[0-1)
2015,Quận 2,1756,1478,247,27,3655,0.480437756497948,all
2016,Quận 2,711,707,4,0,3507,0.20273738237810093,[0-1)
2016,Quận 2,2086,1523,489,71,3507,0.5948103792415169,all
2017,Quận 2,804,802,2,0,3311,0.2428269405013591,[0-1)
2017,Quận 2,1970,1380,519,71,3311,0.5949864089398973,all
2018,Quận 2,748,738,10,0,3394,0.22038892162639953,[0-1)
2018,Quận 2,1676,1278,365,33,3394,0.4938126104890984,all
2019,Quận 2,1847,1817,30,0,3488,0.5295298165137615,[0-1)
2019,Quận 2,3041,1138,1861,41,3488,0.8718463302752294,all
2020,Quận 2,2085,2011,74,0,3215,0.6485225505443235,[0-1)
2020,Quận 2,2752,570,2155,27,3215,0.8559875583203732,all
2021,Quận 2,1349,1317,32,0,2179,0.6190913262964662,[0-1)
2021,Quận 2,1518,762,753,3,2179,0.6966498393758604,all
2014,Quận 3,75,75,0,0,1869,0.04012841091492777,[0-1)
2014,Quận 3,721,644,70,7,1869,0.3857677902621723,all
2015,Quận 3,334,333,1,0,2612,0.12787136294027565,[0-1)
2015,Quận 3,1229,993,213,21,2612,0.47052067381317,all
2016,Quận 3,369,368,1,0,2226,0.16576819407008087,[0-1)
2016,Quận 3,1199,875,288,34,2226,0.5386343216531896,all
2017,Quận 3,390,388,2,0,1781,0.21897810218978103,[0-1)
2017,Quận 3,1083,750,297,36,1781,0.6080853453116227,all
2018,Quận 3,362,359,3,0,1717,0.21083284799068142,[0-1)
2018,Quận 3,938,712,202,24,1717,0.5463016889924287,all
2019,Quận 3,894,882,12,0,1568,0.5701530612244898,[0-1)
2019,Quận 3,1454,466,953,33,1568,0.9272959183673469,all
2020,Quận 3,1045,1008,37,0,1352,0.7729289940828402,[0-1)
2020,Quận 3,1307,183,1087,37,1352,0.966715976331361,all
2021,Quận 3,784,762,22,0,1170,0.67008547008547,[0-1)
2021,Quận 3,841,480,359,2,1170,0.7188034188034188,all
2022,Quận 3,1,1,0,0,447,0.0022371364653243847,[0-1)
2022,Quận 3,1,1,0,0,447,0.0022371364653243847,all
2014,Quận 4,15,15,0,0,927,0.016181229773462782,[0-1)
2014,Quận 4,298,276,22,0,927,0.3214670981661273,all
2015,Quận 4,430,426,4,0,2212,0.19439421338155516,[0-1)
2015,Quận 4,1153,921,208,22,2212,0.52124773960217,all
2016,Quận 4,495,492,3,0,2257,0.21931767833407179,[0-1)
2016,Quận 4,1232,890,312,29,2257,0.5458573327425786,all
2017,Quận 4,688,685,3,0,2605,0.2641074856046065,[0-1)
2017,Quận 4,1451,1029,377,45,2605,0.5570057581573896,all
2018,Quận 4,599,596,3,0,2209,0.27116342236306024,[0-1)
2018,Quận 4,1231,913,302,16,2209,0.5572657311000453,all
2019,Quận 4,1202,1196,6,0,2102,0.5718363463368221,[0-1)
2019,Quận 4,1869,739,1110,20,2102,0.8891531874405328,all
2020,Quận 4,1225,1203,22,0,1798,0.6813125695216907,[0-1)
2020,Quận 4,1600,370,1213,16,1798,0.8898776418242491,all
2021,Quận 4,1043,1031,12,0,1733,0.6018465089440277,[0-1)
2021,Quận 4,1121,691,428,2,1733,0.6468551644547028,all
2014,Quận 5,82,82,0,0,1197,0.06850459482038429,[0-1)
2014,Quận 5,519,448,69,2,1197,0.43358395989974935,all
2015,Quận 5,314,313,1,0,2247,0.13974187805963506,[0-1)
2015,Quận 5,1077,858,195,22,2247,0.47930574098798395,all
2016,Quận 5,327,327,0,0,2082,0.15706051873198848,[0-1)
2016,Quận 5,1138,854,245,38,2082,0.5465898174831892,all
2017,Quận 5,401,399,2,0,2168,0.1849630996309963,[0-1)
2017,Quận 5,1209,830,337,40,2168,0.5576568265682657,all
2018,Quận 5,380,375,5,0,1799,0.2112284602556976,[0-1)
2018,Quận 5,969,733,220,16,1799,0.5386325736520289,all
2019,Quận 5,911,898,13,0,1665,0.5471471471471472,[0-1)
2019,Quận 5,1456,543,883,30,1665,0.8744744744744745,all
2020,Quận 5,969,925,44,0,1528,0.6341623036649214,[0-1)
2020,Quận 5,1317,319,979,19,1528,0.8619109947643979,all
2021,Quận 5,712,701,11,0,1281,0.555815768930523,[0-1)
2021,Quận 5,801,464,336,1,1281,0.6252927400468384,all
2014,Quận 6,252,252,0,0,2779,0.0906801007556675,[0-1)
2014,Quận 6,1606,1284,275,44,2779,0.5779057214825477,all
2015,Quận 6,851,847,4,0,4059,0.20965755112096576,[0-1)
2015,Quận 6,2634,1742,722,153,4059,0.6489283074648928,all
2016,Quận 6,909,905,4,0,3490,0.260458452722063,[0-1)
2016,Quận 6,2467,1510,748,186,3490,0.7068767908309456,all
2017,Quận 6,936,928,8,0,3401,0.2752131725962952,[0-1)
2017,Quận 6,2306,1406,726,161,3401,0.6780358718024111,all
2018,Quận 6,852,850,2,0,3631,0.23464610300192784,[0-1)
2018,Quận 6,1868,1378,433,54,3631,0.514458826769485,all
2019,Quận 6,1882,1839,43,0,3242,0.580505860579889,[0-1)
2019,Quận 6,2920,959,1883,77,3242,0.9006785934608267,all
2020,Quận 6,2147,2062,85,0,2976,0.7214381720430108,[0-1)
2020,Quận 6,2631,309,2226,93,2976,0.8840725806451613,all
2021,Quận 6,1612,1565,47,0,2616,0.6162079510703364,[0-1)
2021,Quận 6,1726,893,825,8,2616,0.6597859327217125,all
2022,Quận 6,1,1,0,0,1037,9.643201542912247e-4,[0-1)
2022,Quận 6,1,1,0,0,1037,9.643201542912247e-4,all
2014,Quận 7,39,39,0,0,2605,0.014971209213051824,[0-1)
2014,Quận 7,856,788,63,4,2605,0.3285988483685221,all
2015,Quận 7,885,884,1,0,5503,0.16082137016172995,[0-1)
2015,Quận 7,2543,2131,369,42,5503,0.4621115755042704,all
2016,Quận 7,1138,1133,5,0,5751,0.19787862980351242,[0-1)
2016,Quận 7,3242,2511,649,77,5751,0.5637280472961224,all
2017,Quận 7,1477,1464,13,0,5734,0.2575863271712592,[0-1)
2017,Quận 7,3499,2386,960,149,5734,0.6102197418904779,all
2018,Quận 7,1183,1177,6,0,5007,0.23626922308767725,[0-1)
2018,Quận 7,2863,2065,727,67,5007,0.5717994807269823,all
2019,Quận 7,2724,2666,58,0,4977,0.5473176612417119,[0-1)
2019,Quận 7,4421,1472,2704,242,4977,0.8882861161342174,all
2020,Quận 7,2932,2831,101,0,4202,0.6977629700142789,[0-1)
2020,Quận 7,3796,586,3070,137,4202,0.9033793431699191,all
2021,Quận 7,2245,2169,76,0,3685,0.6092265943012212,[0-1)
2021,Quận 7,2471,1436,1030,5,3685,0.6705563093622795,all
2022,Quận 7,2,2,0,0,1548,0.0012919896640826874,[0-1)
2022,Quận 7,2,2,0,0,1548,0.0012919896640826874,all
2014,Quận 8,98,98,0,0,2668,0.03673163418290855,[0-1)
2014,Quận 8,1037,926,91,19,2668,0.3886806596701649,all
2015,Quận 8,1055,1054,1,0,5778,0.18258913118726203,[0-1)
2015,Quận 8,2847,2220,556,68,5778,0.49273104880581514,all
2016,Quận 8,1198,1194,4,0,6073,0.19726658982381032,[0-1)
2016,Quận 8,3351,2538,711,98,6073,0.5517865964103409,all
2017,Quận 8,1523,1518,5,0,6357,0.23957841749252792,[0-1)
2017,Quận 8,3734,2601,978,148,6357,0.5873839861569923,all
2018,Quận 8,1257,1248,9,0,5915,0.2125105663567202,[0-1)
2018,Quận 8,3094,2322,706,66,5915,0.5230769230769231,all
2019,Quận 8,3058,3012,46,0,5790,0.5281519861830742,[0-1)
2019,Quận 8,5058,2324,2609,125,5790,0.8735751295336788,all
2020,Quận 8,3186,3096,90,0,5152,0.6184006211180124,[0-1)
2020,Quận 8,4335,1304,2976,54,5152,0.8414208074534162,all
2021,Quận 8,2527,2472,55,0,4269,0.5919419067697353,[0-1)
2021,Quận 8,2806,1719,1081,6,4269,0.6572967908175217,all
2022,Quận 8,1,1,0,0,2029,4.928536224741252e-4,[0-1)
2022,Quận 8,1,1,0,0,2029,4.928536224741252e-4,all
2014,Quận 9,91,91,0,0,3749,0.024273139503867697,[0-1)
2014,Quận 9,2064,1865,175,21,3749,0.5505468124833289,all
2015,Quận 9,1183,1174,9,0,6666,0.17746774677467747,[0-1)
2015,Quận 9,3920,2835,903,167,6666,0.588058805880588,all
2016,Quận 9,1660,1653,7,0,6669,0.24891288049182786,[0-1)
2016,Quận 9,4365,2859,1265,228,6669,0.6545209176788124,all
2017,Quận 9,1995,1982,13,0,7395,0.2697768762677485,[0-1)
2017,Quận 9,4746,3062,1429,242,7395,0.6417849898580121,all
2018,Quận 9,1665,1652,13,0,6705,0.24832214765100671,[0-1)
2018,Quận 9,3997,2831,1055,109,6705,0.5961222967934378,all
2019,Quận 9,3913,3828,85,0,6712,0.5829856972586412,[0-1)
2019,Quận 9,6148,2226,3582,322,6712,0.9159713945172825,all
2020,Quận 9,4026,3911,115,0,6025,0.6682157676348548,[0-1)
2020,Quận 9,5312,1156,3987,157,6025,0.8816597510373444,all
2021,Quận 9,2579,2474,92,8,3625,0.7114482758620689,[0-1)
2021,Quận 9,2817,1485,1294,30,3625,0.7771034482758621,all
2022,Quận 9,2,2,0,0,899,0.002224694104560623,[0-1)
2022,Quận 9,2,2,0,0,899,0.002224694104560623,all
2014,Thủ Đức,382,381,1,0,5963,0.06406171390239812,[0-1)
2014,Thủ Đức,3232,2650,503,71,5963,0.5420090558443736,all
2015,Thủ Đức,2108,2102,6,0,10998,0.1916712129478087,[0-1)
2015,Thủ Đức,6190,4557,1330,281,10998,0.5628296053827969,all
2016,Thủ Đức,2747,2741,6,0,10845,0.2532964499769479,[0-1)
2016,Thủ Đức,6522,4458,1720,328,10845,0.6013831258644536,all
2017,Thủ Đức,3162,3148,14,0,9929,0.3184610736227213,[0-1)
2017,Thủ Đức,6894,4318,2151,408,9929,0.694329741162252,all
2018,Thủ Đức,2382,2362,20,0,8554,0.2784662146364274,[0-1)
2018,Thủ Đức,5198,3693,1358,143,8554,0.607668926817863,all
2019,Thủ Đức,5327,5240,87,0,8805,0.6049971607041453,[0-1)
2019,Thủ Đức,8063,3014,4756,292,8805,0.9157296990346394,all
2020,Thủ Đức,5466,5299,167,0,7676,0.7120896300156332,[0-1)
2020,Thủ Đức,7034,1136,5735,163,7676,0.916362688900469,all
2021,Thủ Đức,6133,5995,138,0,9929,0.6176855675294591,[0-1)
2021,Thủ Đức,6562,4091,2460,10,9929,0.6608923355826367,all
2022,Thủ Đức,4,4,0,0,5017,7.972892166633447e-4,[0-1)
2022,Thủ Đức,4,4,0,0,5017,7.972892166633447e-4,all
2014,Tân Bình,169,168,1,0,3739,0.045199251136667555,[0-1)
2014,Tân Bình,1790,1539,222,27,3739,0.4787376303824552,all
2015,Tân Bình,1334,1326,8,0,7215,0.1848925848925849,[0-1)
2015,Tân Bình,4015,2967,864,169,7215,0.5564795564795565,all
2016,Tân Bình,1402,1397,5,0,6719,0.20866200327429676,[0-1)
2016,Tân Bình,3879,2716,980,172,6719,0.5773180532817384,all
2017,Tân Bình,1718,1709,9,0,6611,0.2598699137800635,[0-1)
2017,Tân Bình,4068,2679,1186,198,6611,0.6153380729087884,all
2018,Tân Bình,1353,1343,10,0,5630,0.24031971580817052,[0-1)
2018,Tân Bình,2995,2247,681,67,5630,0.5319715808170515,all
2019,Tân Bình,2958,2928,30,0,5299,0.5582185317984525,[0-1)
2019,Tân Bình,4791,1710,3031,50,5299,0.9041328552557086,all
2020,Tân Bình,3214,3129,85,0,4690,0.6852878464818764,[0-1)
2020,Tân Bình,4280,821,3439,20,4690,0.9125799573560768,all
2021,Tân Bình,2600,2549,51,0,4189,0.6206731916925281,[0-1)
2021,Tân Bình,2830,1493,1334,3,4189,0.6755788971114824,all
2014,Tân Phú,207,206,1,0,5131,0.04034301305788345,[0-1)
2014,Tân Phú,3087,2620,393,65,5131,0.6016371077762619,all
2015,Tân Phú,1501,1495,6,0,8672,0.1730857933579336,[0-1)
2015,Tân Phú,5104,3676,1162,231,8672,0.5885608856088561,all
2016,Tân Phú,1806,1796,10,0,8038,0.22468275690470266,[0-1)
2016,Tân Phú,5012,3454,1264,262,8038,0.6235381935804927,all
2017,Tân Phú,1912,1901,11,0,7805,0.24497117232543242,[0-1)
2017,Tân Phú,4936,3143,1455,314,7805,0.6324151185137732,all
2018,Tân Phú,1714,1707,7,0,6920,0.2476878612716763,[0-1)
2018,Tân Phú,4067,2975,989,102,6920,0.5877167630057804,all
2019,Tân Phú,3931,3899,32,0,6930,0.5672438672438672,[0-1)
2019,Tân Phú,6348,2377,3732,235,6930,0.9160173160173161,all
2020,Tân Phú,4087,3971,116,0,5957,0.6860835991270774,[0-1)
2020,Tân Phú,5562,1257,4166,135,5957,0.9336914554305858,all
2021,Tân Phú,3400,3350,50,0,5054,0.6727344677483181,[0-1)
2021,Tân Phú,3713,2291,1409,13,5054,0.7346656113969133,all
2022,Tân Phú,1,1,0,0,1980,5.05050505050505e-4,[0-1)
2022,Tân Phú,1,1,0,0,1980,5.05050505050505e-4,all
